🕘️更新时间,#genre#
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
广西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxwshd
广西卫视,http://125.43.247.15:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://satellitepull.cnr.cn/live/wx32gzws/playlist.m3u8
贵州卫视,http://drive.mxmy.net:8888/udp/239.3.1.149:8076
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
海南卫视,http://www.negative.top:50000/rtp/233.50.200.165:5140
河北卫视,http://satellitepull.cnr.cn/live/wxhebws/playlist.m3u8
河北卫视,http://drive.mxmy.net:8888/udp/239.3.1.148:8072
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
吉林卫视,http://drive.mxmy.net:8888/udp/239.3.1.240:8172
江苏卫视,http://204.12.221.218:8181/3m1080p/jsws.m3u8
江苏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd
江西卫视,http://drive.mxmy.net:8888/udp/239.3.1.123:8164
辽宁卫视,http://192.151.150.154/live/lnwshd.m3u8
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8
辽宁卫视,http://drive.mxmy.net:8888/udp/239.3.1.210:8056
内蒙古卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nmgws
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8
内蒙古卫视,http://satellitepull.cnr.cn/live/wx32nmgws/playlist.m3u8
宁夏卫视,http://satellitepull.cnr.cn/live/wxnxws/playlist.m3u8
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
山东卫视,http://198.204.228.26/live/sdwshd.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
山东卫视,http://drive.mxmy.net:8888/udp/239.3.1.209:8052
山西卫视,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
四川卫视,http://satellitepull.cnr.cn/live/wxscws/playlist.m3u8
深圳卫视,http://satellitepull.cnr.cn/live/wxszws/playlist.m3u8
三沙卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws
三沙卫视,http://107.150.60.122/live/ssws.m3u8
三沙卫视,http://198.204.228.26/live/ssws.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd
天津卫视,http://drive.mxmy.net:8888/udp/239.3.1.141:1234
西藏卫视,http://satellitepull.cnr.cn/live/wxxzws/playlist.m3u8
新疆卫视,http://satellitepull.cnr.cn/live/wxxjws/playlist.m3u8

☘️安徽频道，#genre#,#genre#
安徽影视,http://hsza.f3322.net:4000/rtp/238.1.79.42:4448

🎬电影频道,#genre#
CHC高清电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CHC高清电影,http://dassby.qqff.top:99/live/CHC高清/index.m3u8
CHC高清电影,rtsp://115.153.247.80/PLTV/88888888/224/3221226990/86128784.smil
CHC高清电影,rtsp://115.153.230.145/PLTV/88888888/224/3221226990/86128784.smil
CHC高清电影,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226990/86128784.smil
淘剧场,http://tnvcn.com:8012/rtp/239.3.1.95:8001
淘娱乐,http://tnvcn.com:8012/rtp/239.3.1.100:8001
NewTV惊悚悬疑,https://live.264788.xyz/channel/newtvjingsongxuanyi?streamid=cefe64289cde2680e596ee3c1c6a4bf2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
NewTV惊悚悬疑,https://live.264788.xyz/channel/newtvjingsongxuanyi?streamid=082a2e30e260e629bde8f58d4861bee0&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
靖天映画,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv055
靖天映画,http://nmk.ioapk.com:5050/4gtv-4gtv055/index.m3u8?proxy=true
靖天映画,http://nmk.ioapk.com:5050/li-4gtv-4gtv055/index.m3u8?proxy=true
靖天映画,http://220.135.64.124:5050/4gtv-4gtv055/index.m3u8?proxy=true
靖天映画,http://220.135.64.124:5050/li-4gtv-4gtv055/index.m3u8?proxy=true
IPTV经典电影,http://183.220.107.138:4022/rtp/239.10.0.122:5140
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8

体育频道，#genre#,#genre#
纬来体育,http://free.cnlive.club/channel/5816d06e.m3u8?q=111.170.171.148
五星体育,http://38.75.136.137:98/gslb/dsdqpub/wxtyhd.m3u8?auth=testpub
五星体育,http://8.138.7.223/tv/shtv.php?id=wxty
劲爆体育,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=0&authid=0
爱体育,rtsp://180.95.143.19/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://116.176.26.18/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227315/10000100000000060000000001946406_0.smil
爱体育,rtsp://60.13.39.19/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://60.13.23.179/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://221.7.61.147/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://116.176.26.19/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://60.13.39.18/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱体育,rtsp://115.153.245.70/PLTV/88888888/224/3221227012/86440946.smil
爱体育,rtsp://115.153.254.81/PLTV/88888888/224/3221227044/86502115.smil
辽宁体育,http://dassby.qqff.top:99/live/辽宁体育/index.m3u8
山东体育,http://123.130.84.106:8154/tsfile/live/1006_1.m3u8
山东体育,http://58.57.40.22:9901/tsfile/live/1020_1.m3u8
山东体育,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/70066_Uni.sdp
天津体育,http://38.75.136.137:98/gslb/dsdqpub/tjtv5.m3u8?auth=testpub
天津体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjtv5
天津体育,http://ak.cj022.com:10080/hls/6/index.m3u8
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8
睛彩广场舞,rtsp://222.161.218.244:554/PLTV/88888888/224/3221226039/10000100000000060000000015242276_0.smil
睛彩广场舞,rtsp://139.215.98.88/PLTV/88888888/224/3221226039/10000100000000060000000015242276_0.smil
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云足球,http://192.151.150.154/live/fyzq.m3u8
风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq
风云足球,http://107.150.60.122/live/fyzq.m3u8
魅力足球,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000415?AuthInfo=xxx&userid=gf001&userid=gf001
天元围棋,http://204.12.221.218:8181/3m1080p/gztywq.m3u8
快乐垂钓,http://drive.mxmy.net:8888/udp/239.3.1.164:8001
快乐垂钓,http://dassby.qqff.top:99/live/快乐垂钓/index.m3u8
快乐垂钓,rtsp://115.153.245.70/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.254.81/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.212.72/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.247.80/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.230.145/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226834/59781974.smil
快乐垂钓,rtsp://115.153.233.154/PLTV/88888888/224/3221226834/59781974.smil

🪁动画频道,#genre#
少儿动画,http://124.116.183.146:9901/tsfile/live/0137_1.m3u8
少儿动画,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227318/10000100000000060000000001945936_0.smil
少儿动画,rtsp://115.153.245.70/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.254.81/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.240.228:554/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.212.72/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.247.80/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.230.145/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.222.112:554/PLTV/88888888/224/3221227006/86440922.smil
少儿动画,rtsp://115.153.233.154/PLTV/88888888/224/3221227006/86440922.smil
卡酷动画,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8
新动漫,rtsp://115.153.245.70/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.254.81/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.212.72/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.230.145/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.247.80/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226973/86129004.smil
新动漫,rtsp://115.153.233.154/PLTV/88888888/224/3221226973/86129004.smil
金鹰卡通,http://125.43.247.15:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://183.237.95.108:9901/tsfile/live/1100_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通,http://120.198.95.220:9901/tsfile/live/1034_1.m3u8?key=txiptv
炫动卡通,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226968/10000100000000060000000000568712_0.smil
炫动卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.240.228:554/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.212.72/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.247.80/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.230.145/PLTV/88888888/224/3221225583/iptv7982.smil
炫动卡通,rtsp://115.153.222.112:554/PLTV/88888888/224/3221225583/iptv7982.smil
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8

经典剧场，#genre#,#genre#
西游记,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093806671579134_hlsb.m3u8
